TIME,BJD_TDB,PDCSAP_FLUX,PDCSAP_FLUX_ERR,SAP_FLUX,SAP_FLUX_ERR,QUALITY,CADENCENO,rel_flux,OBJECT,TICID,SECTOR,CAMERA,CCD,MISSION
1325.2931054884252,2458325.2931054886,,,10114.1669921875,11.809128761291504,8,70444,,TIC 278866211,278866211,1,4,4,TESS
1325.2944943786738,2458325.294494379,11613.564453125,15.46216106414795,10543.07421875,12.016637802124023,0,70445,1.0007805679274395,TIC 278866211,278866211,1,4,4,TESS
1325.295883268922,2458325.295883269,11619.2275390625,15.602800369262695,10770.7421875,12.125937461853027,0,70446,1.001268575410726,TIC 278866211,278866211,1,4,4,TESS
1325.297272159169,2458325.2972721593,11632.8857421875,15.609766006469727,10786.787109375,12.131349563598633,0,70447,1.0024455494857807,TIC 278866211,278866211,1,4,4,TESS
1325.2986610494177,2458325.2986610495,11636.9072265625,15.647744178771973,10864.4560546875,12.160865783691406,0,70448,1.0027920945480626,TIC 278866211,278866211,1,4,4,TESS
1325.3000499396658,2458325.3000499397,11618.119140625,15.646194458007812,10843.404296875,12.159661293029785,0,70449,1.0011730609265856,TIC 278866211,278866211,1,4,4,TESS
1325.3014388300294,2458325.30143883,11641.18359375,15.653548240661621,10861.958984375,12.165376663208008,0,70450,1.0031606037340104,TIC 278866211,278866211,1,4,4,TESS
1325.302827720278,2458325.30282772,11624.60546875,15.662261009216309,10878.025390625,12.172147750854492,0,70451,1.0017320100047005,TIC 278866211,278866211,1,4,4,TESS
1325.304216610526,2458325.3042166107,11624.783203125,15.64925479888916,10851.388671875,12.162039756774902,0,70452,1.0017473259836551,TIC 278866211,278866211,1,4,4,TESS
1325.3056055008901,2458325.305605501,11617.8828125,15.663609504699707,10875.26171875,12.173195838928223,0,70453,1.0011526957237997,TIC 278866211,278866211,1,4,4,TESS
1325.306994391255,2458325.306994391,11647.1201171875,15.644225120544434,10842.7119140625,12.15813159942627,0,70454,1.0036721742618424,TIC 278866211,278866211,1,4,4,TESS
1325.3083832815025,2458325.3083832813,11612.9033203125,15.68242073059082,10897.8876953125,12.18781566619873,0,70455,1.0007235958518774,TIC 278866211,278866211,1,4,4,TESS
1325.3097721718668,2458325.309772172,11638.1494140625,15.648571014404297,10851.15625,12.16150951385498,0,70456,1.0028991380932843,TIC 278866211,278866211,1,4,4,TESS
1325.3111610622318,2458325.311161062,11616.4970703125,15.641474723815918,10828.5107421875,12.155994415283203,0,70457,1.0010332815801917,TIC 278866211,278866211,1,4,4,TESS
1325.3125499525963,2458325.3125499524,11607.11328125,15.678328514099121,10885.4609375,12.184635162353516,0,70458,1.0002246483836235,TIC 278866211,278866211,1,4,4,TESS
1325.3139388429604,2458325.313938843,11626.2216796875,15.65639877319336,10857.9951171875,12.16759204864502,0,70459,1.0018712844287112,TIC 278866211,278866211,1,4,4,TESS
1325.315327733325,2458325.3153277333,11601.05078125,15.668350219726562,10860.2744140625,12.1768798828125,0,70460,0.9997022220245545,TIC 278866211,278866211,1,4,4,TESS
